source,target,label,context,is_trigger,is_dense,has_amend,density,doc_id
COBS 4.5.14,COBS 4.5.13R,1,"(1) Subject to paragraph (2), if a communication to which COBS 4.5.13R applies includes information comparing past performance of the scheme against one or more comparator benchmarks , the a",1,0,0,2,COBS_0155
COBS 4.6.1,COBS 4.1.1R,1, if it is image advertising ; (d) to the extent that it relates to a deposit that is not a structured deposit (see also COBS 4.1.1R(3) ); (e) to the extent that it relates to a pure protection contract that is a long-term care insurance contract . Pas,1,0,0,1,COBS_0159
COBS 4.7.3,COBS 4.7.1R,1,(1) COBS 4.7.1R (2) allows a firm to communicate a direct offer financial promotion that does not contain all the information required ,1,0,0,2,COBS_0173
COBS 4.10.2A,COBS 4.12A.28R,1,"e non-mass market investment ; and (b) if the firm will not itself carry out the appropriateness assessment required by COBS 4.12A.28R , that the appropriateness assessments undertaken comply with the rules specified in COBS 4.12A.28R . (3) If the firm i",1,0,0,3,COBS_0193
COBS 4.10.2A,COBS 4.10.2R,1,ertaken comply with the relevant rules then it must withdraw its approval of the financial promotion in accordance with COBS 4.10.2R(2) .,1,0,0,2,COBS_0193
COBS 4.10.3A,COBS 4.10.2R,1,"If a firm : (1) is unable to obtain an attestation required by COBS 4.10.2R(1B) , that firm should consider whether to withdraw its approval ; (2) in response to a request to provide an attestati",1,0,0,1,COBS_0197
COBS 4.11.1,COBS 4.10.9AR,1,"te record of any financial promotion : (a) it communicates ; (b) it approves ; or (c) of which it confirms compliance ( COBS 4.10.9AR(3)(a) ), other than a financial promotion made in the course of a personal visit, telephone conversation or other inter",1,0,0,1,COBS_0210
COBS 4.11.6,COBS 4.11.5R,1,h COBS 4.12A.15R applies must take reasonable steps to ensure that: (1) adequate records of the information required by COBS 4.11.5R are made in connection with the communication of the direct offer financial promotion ; and (2) the firm is provided wi,1,0,0,2,COBS_0215
COBS 4.11.8,COBS 4.12A.44R,1,"Where a firm is required by COBS 4.12A.44R(2)(b) or COBS 4.12B.13R(2)(b) to maintain a record of its grounds for using an alternative form of risk summary, it mus",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12A.8G,1,"engage in investment activity in relation to restricted mass market investments . COBS 4.12A.9A 02/04/2024 G Subject to COBS 4.12A.8G and COBS 4.12A.9G , the following factors are otherwise relevant in determining whether a benefit is an incentive: (1) ",1,0,0,3,COBS_0217
COBS 4.11.8,COBS 4.12A.11R,1,"ial promotion which relates to a restricted mass market investment unless it contains a risk warning that complies with COBS 4.12A.11R . COBS 4.12A.11 08/10/2025 R (1) For the purposes of COBS 4.12A.10R , the financial promotion must contain: (a) the fol",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12A.18R,1," description of any security interest, insurance, guarantee or other risk mitigation measures adopted by the firm . (3) COBS 4.12A.18R (First condition: cooling off period) does not apply where a direct offer financial promotion to a retail client relate",1,0,0,3,COBS_0217
COBS 4.11.8,COBS 4.12A.20R,1,"to a restricted mass market investment to a retail client unless the conditions in COBS 4.12A.18R (cooling off period), COBS 4.12A.20R (personalised risk warning), COBS 4.12A.21R (categorisation) and COBS 4.12A.28R (appropriateness) are satisfied; or (b)",1,1,0,6,COBS_0217
COBS 4.11.8,COBS 4.12A.28R,1,"in COBS 4.12A.18R (cooling off period), COBS 4.12A.20R (personalised risk warning), COBS 4.12A.21R (categorisation) and COBS 4.12A.28R (appropriateness) are satisfied; or (b) approve a direct offer financial promotion relating to a restricted mass market",1,1,0,6,COBS_0217
COBS 4.11.8,COBS 4.12A.22R,1,ithin the period of 12 months ending with on the day on which the communication is to be made) of a type falling within COBS 4.12A.22R and which applies to the type of restricted mass market investment to which the direct offer financial promotion relate,1,0,0,2,COBS_0217
COBS 4.11.8,COBS 10.2.2R,1,atters that are relevant to the specific type of investment in which the retail client has expressed interest (see also COBS 10.2.2R ). COBS 4.12A.35 15/12/2023 G (1) A retail client should only be informed of the outcome of an appropriateness assessme,1,0,0,3,COBS_0217
COBS 4.11.8,COBS 4.12A.46R,1,"ion requires a firm to communicate a risk summary selected from COBS 4 Annex 1R , the firm must either: (1) (subject to COBS 4.12A.46R ) provide the risk summary as it appears in COBS 4 Annex 1R ; or (2) provide a version of the risk summary in COBS 4 An",1,0,0,2,COBS_0217
COBS 4.11.8,COBS 4.12B.7R,1,"o be received by, a retail client , subject to certain exemptions. (4) The exemptions referred to in (3) are set out in COBS 4.12B.7R(5) . (5) (a) Firms must also comply with COBS 4.12B.7R(1)(b) and the rules in COBS 4.12B.14R to COBS 4.12B.30R (see (b)",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12B.14R,1,ed to in (3) are set out in COBS 4.12B.7R(5) . (5) (a) Firms must also comply with COBS 4.12B.7R(1)(b) and the rules in COBS 4.12B.14R to COBS 4.12B.30R (see (b) below) where: (i) the financial promotion relates to a non-mass market investment ; and (ii),1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12B.33R,1,"Where the financial promotion relates to a speculative illiquid security , firms must also comply with COBS 4.12B.32R , COBS 4.12B.33R and COBS 4.12B.35R which relate to the disclosure of costs, charges and commission. (7) The table below explains how th",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12B.18G,1,"rwise engage in investment activity in relation to non-mass market investments . COBS 4.12B.19A 02/04/2024 G Subject to COBS 4.12B.18G and COBS 4.12B.19G , the following factors are relevant in determining whether a benefit is an incentive: (1) A benefit",1,0,0,3,COBS_0217
COBS 4.11.8,COBS 4.12B.52R,1," and its related guidance provisions. Definition of speculative illiquid security COBS 4.12B.50 01/02/2023 R Subject to COBS 4.12B.52R to COBS 4.12B.54R , a speculative illiquid security is a debenture or preference share which: (1) has a denomination or",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12B.54R,1,"uidance provisions. Definition of speculative illiquid security COBS 4.12B.50 01/02/2023 R Subject to COBS 4.12B.52R to COBS 4.12B.54R , a speculative illiquid security is a debenture or preference share which: (1) has a denomination or minimum investmen",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12B.51R,1," share which: (1) has a denomination or minimum investment of less than  100,000 (or an equivalent amount as defined in COBS 4.12B.51R ); and (2) has been issued, or is to be issued, in circumstances where the issuer or a member of the issuer s group use",1,1,0,4,COBS_0217
COBS 4.11.8,COBS 4.12B.50R,1,ndirectly); (e) paying for or funding the construction of real property. COBS 4.12B.51 01/02/2023 R For the purposes of COBS 4.12B.50R(1) : (1) an equivalent amount in relation to an amount denominated in any currency other than sterling is an amount of ,1,0,0,2,COBS_0217
COBS 4.15.2,COBS 4.15.3R,1," promotion clearly states that: (1) the scheme is authorised overseas , but not in the United Kingdom ; (2) (subject to COBS 4.15.3R ) the Financial Ombudsman Service is unlikely to be able to consider complaints related to the scheme , its operator or",1,0,0,1,COBS_0222
COBS 6.1.17,COBS 6.1B.5AR,1,"30B does not apply to the regulated activity of advising on P2P agreements . COBS 6.1B.1B 06/04/2016 G In this section, COBS 6.1B.5AR and COBS 6.1B.7AR are not relevant in circumstances where a retail client receives a personal recommendation in relatio",1,1,0,4,COBS_0269
COBS 6.1.17,COBS 6.1C.5A,1,"rules in this section, not the rules on adviser charging ( COBS 6.1A ). COBS 6.1C.5 06/04/2015 R Except as specified in COBS 6.1C.5A R , COBS 6.1C.5B R and COBS 6.1C.5C R , a firm must: (1) only be remunerated for giving advice, or providing services, ",1,1,0,5,COBS_0269
COBS 6.1.17,COBS 6.1D.6A,1,"ffer commission, provide factoring or offer credit to a third party COBS 6.1D.4 06/04/2016 R (1) Except as specified in COBS 6.1D.6A R , a firm must not offer or pay (and must ensure that none of its associates offers or pays) any commissions, remunera",1,0,0,2,COBS_0269
COBS 6.1.17,COBS 6.1E.6,1,"il investment product . Requirement to be paid through platform charges COBS 6.1E.4 06/04/2014 R Except as specified in COBS 6.1E.6 R and COBS 6.1E.7 R , a platform service provider must: (1) only be remunerated for its platform service (and any other",1,1,0,4,COBS_0269
COBS 6.1.17,COBS 6.1H.3R,1,"oviding each other with information as necessary; (2) if the client has chosen an in-specie transfer in accordance with COBS 6.1H.3R(1) and a unit class conversion is required to enable or facilitate such transfer, the ceding platform must request the ",1,0,0,1,COBS_0269
COBS 6.1.17,COBS 6.1ZA,1,"client s transfer instructions, it must contact the client at the earliest opportunity to request further instructions. COBS 6.1ZA Information about the firm and compensation information (MiFID and insurance distribution provisions) Application COBS ",1,0,0,3,COBS_0269
COBS 6.1.17,COBS 9A.3.2R,1,"and timing of the reports on the performance of the service to be provided by the firm to the client in accordance with COBS 9A.3.2R and COBS 16A.2.1R ; (7) if the firm holds client financial instruments or client money , a summary description of the s",1,0,0,2,COBS_0269
COBS 6.1.17,COBS 2.2A.2R,1,18 R A firm must provide a client with at least the following information about all costs and related charges (see also COBS 2.2A.2R ): (1) (as applicable) information relating to: (a) both investment services and ancillary services ; and (b) the distr,1,0,0,3,COBS_0269
COBS 6.1.17,COBS 7.4,1,"n insurance distributor to provide information to clients in relation to a life policy it must do so in accordance with COBS 7.4 (Means of communication to clients), unless COBS 6.1ZA.18AR(2) applies. [ Note: article 23 of the IDD ] Keeping the cli",1,1,0,4,COBS_0269
COBS 6.1.17,COBS 6.2B.11R,1,ts and structured deposits (and not other retail investment products ) in conducting its assessment for the purposes of COBS 6.2B.11R . COBS 6.2B.4A 23/10/2025 G Certain provisions in this section require firms to provide clients with information  in go,1,1,0,4,COBS_0269
COBS 6.1.17,COBS 6.2B.33R,1,"at client , in a durable medium , whether the advice will be independent advice or restricted advice in accordance with COBS 6.2B.33R to COBS 6.2B.36R ; (2) present itself as independent only in respect of those services in relation to which it provides",1,0,0,2,COBS_0269
COBS 7.4.4,COBS 7.4.2R,1,"r (b) on a durable medium other than paper, the firm must also provide the information to the client in accordance with COBS 7.4.2R and COBS 7.4.3R immediately after the conclusion of the life policy . [ Note: article 23(7) of the IDD ] Point In Time ",1,0,0,2,COBS_0295
COBS 8.1.3,COBS 6.1.4,1,"nt; and (b) the information about the firm and its services relating to that agreement or to those services required by COBS 6.1.4 R , including information on communications, conflicts of interest and authorised status. (2) A firm must provide the a",1,0,0,1,COBS_0298
COBS 9.4.6,COBS 7.4,1,"and its client before conclusion of a contract is by telephone, the suitability report must be given in accordance with COBS 7.4 . [ Note: article 23(7) of the IDD ] Contents",1,0,0,1,COBS_0331
COBS 9.4.8A,COBS 9.4.7R,1,"n on a small life policy in COBS 9.2.9R(2) , the suitability report must include, at least, the information required by COBS 9.4.7R (1) and (4).[ Note: first and third paragraphs of article 20(1) of the IDD ] Means of communication (life policies)",1,0,0,2,COBS_0334
COBS 9.4.11,COBS 19.1.6G,1,"n transfer or pension conversion ; (d) the risks associated with pension transfers or pension conversions as set out in COBS 19.1.6G(4)(b) , and an invitation to the client to consider whether they fully understand those risks and, if so, sign the one ",1,0,0,1,COBS_0337
COBS 9.4.12,COBS 9.4.11R,1,"lines to sign the one page summary to confirm that they intend to accept the personal recommendation in accordance with COBS 9.4.11R(4)(c) , the firm should follow the insistent client guidance in COBS 9.5A (Additional guidance for firms with insistent",1,0,0,3,COBS_0338
COBS 9.5.3,COBS 9.5A.4G,1,"cess followed, including the communications with the client ; and (b) the acknowledgment from the client referred to in COBS 9.5A.4G . COBS 9.5A.7 03/01/2018 G A firm dealing with an insistent client should also refer to the record keeping requirements",1,1,0,5,COBS_0341
COBS 9.6.18A,COBS 7.4,1,ity of the life policy proposed and the type of client . (3) The information in (1) must be provided in accordance with COBS 7.4 . [ Note: third paragraph of article 20(1) and 20(2) of the IDD ] Records,1,0,0,1,COBS_0359
COBS 11.1.7,COBS 18.5.2R,1,".-7 01/01/2021 G This section applies to: (1) a small authorised UK AIFM and a residual CIS operator in accordance with COBS 18.5.2R ; and (2) a full-scope UK AIFM , in accordance with COBS 18.5A.3R . COBS 11.2.-6 03/01/2018 G In accordance with COBS 1",1,1,0,6,COBS_0390
COBS 11.1.7,COBS 18.5A.3R,1,"UK AIFM and a residual CIS operator in accordance with COBS 18.5.2R ; and (2) a full-scope UK AIFM , in accordance with COBS 18.5A.3R . COBS 11.2.-6 03/01/2018 G In accordance with COBS 18.5.4R , this section does not apply to a small authorised UK AIFM",1,1,0,6,COBS_0390
COBS 11.1.7,COBS 18.5.4R,1,"8.5.2R ; and (2) a full-scope UK AIFM , in accordance with COBS 18.5A.3R . COBS 11.2.-6 03/01/2018 G In accordance with COBS 18.5.4R , this section does not apply to a small authorised UK AIFM of an unauthorised AIF or a residual CIS operator of a fund",1,1,0,5,COBS_0390
COBS 11.1.7,COBS 18.5A.8R,1,"nt investor in the fund was a retail client when it invested in the fund . COBS 11.2.-5 01/01/2021 G In accordance with COBS 18.5A.8R , only the following provisions of this section apply to a full-scope UK AIFM : (1) COBS 11.2.5G ; (2) COBS 11.2.17G ; ",1,1,0,8,COBS_0390
COBS 11.1.7,COBS 18.5.3R,1," COBS 11.2B (Best execution for UCITS management companies). Modifications COBS 11.2.-3 03/01/2018 G In accordance with COBS 18.5.3R(1) and COBS 18.5A.5R , references in this section to customer or client are to any fund for which the firm is acting or",1,1,0,8,COBS_0390
COBS 11.1.7,COBS 18.5.1AR,1," or client are to any fund for which the firm is acting or intends to act. COBS 11.2.-2 03/01/2018 G In accordance with COBS 18.5.1AR and COBS 18.5.3R(2) , in the case of a small authorised UK AIFM of an unauthorised AIF which is a collective investment",1,1,0,6,COBS_0390
COBS 11.2.34,COBS 11.2,1,plies) to UCITS management companies when carrying on scheme management activity . (4) This chapter does not apply (but COBS 11.2 applies) to AIFMs when carrying on AIFM investment management functions and residual CIS operators . (5) Where a firm t,1,1,0,4,COBS_0424
COBS 11.2.34,COBS 11.2A.8R,1, also executes the orders received or the decision to deal on behalf of its client's portfolio: (a) it must comply with COBS 11.2A.8R and COBS 11.2A.25R ; and (b) COBS 11.2A.34R does not apply. Obligation to execute orders on terms most favourable to th,1,1,0,4,COBS_0424
COBS 11.2.34,COBS 11.2A.25R,1, orders received or the decision to deal on behalf of its client's portfolio: (a) it must comply with COBS 11.2A.8R and COBS 11.2A.25R ; and (b) COBS 11.2A.34R does not apply. Obligation to execute orders on terms most favourable to the client COBS 11.2A,1,1,0,4,COBS_0424
COBS 11.2.34,COBS 11.2A.2R,1,"would meet the firm s obligations to take all sufficient steps to obtain the best possible result for its clients under COBS 11.2A.2R if the firm executed that quote at the time it was provided, then the firm will meet those same obligations if it execu",1,0,0,2,COBS_0424
COBS 11.2.34,COBS 11.2A.21R,1,"for the purpose of determining what execution venues must be included in the firm s execution policy in accordance with COBS 11.2A.21R . [ Note: recital 94 to MiFID ] COBS 11.2A.19 03/01/2018 R A firm must not receive any remuneration, discount or non-mo",1,0,0,2,COBS_0424
COBS 11.2.34,COBS 2.3,1,"e which would infringe the requirements on conflicts of interests (as set out in SYSC 10 ) or inducements as set out in COBS 2.3 (for firms carrying on business other than MiFID, equivalent third country or optional exemption business ) and in COBS",1,1,0,5,COBS_0424
COBS 11.2.34,COBS 11.2A.20R,1," on the total cost they incur. COBS 11.2A.26 23/10/2025 G (1) When establishing its execution policy in accordance with COBS 11.2A.20R a firm should determine the relative importance of the factors mentioned in COBS 11.2A.2R(2) , or at least establish th",1,0,0,3,COBS_0424
COBS 11.2.34,COBS 18.5B.2R,1,"8 G This section applies to a UCITS management company when carrying on scheme management activity , in accordance with COBS 18.5B.2R . COBS 11.2B.2 03/01/2018 G A firm that is subject to COBS 11.2 (Best execution for AIFMs and residual CIS providers) m",1,1,0,7,COBS_0424
COBS 11.2.34,COBS 11.2B.18R,1,"ly for the purpose of determining which execution venues are included in the firm s execution policy in accordance with COBS 11.2B.18R . COBS 11.2B.10 03/01/2018 R A management company must not receive any remuneration, discount or non-monetary benefit f",1,1,0,4,COBS_0424
COBS 11.2.34,COBS 11.2B.7R,1,n factors . (2) A management company must determine the relative importance of the execution factors in accordance with COBS 11.2B.7R . [ Note: article 26(2) first and second sentences of the first paragraph of the UCITS implementing Directive ] COBS 11,1,0,0,2,COBS_0424
COBS 11.2.34,COBS 11.2B.5R,1, best possible result for each scheme it manages when: (a) executing orders on behalf of the scheme (in accordance with COBS 11.2B.5R ); and (b) placing orders with other entities for execution (in accordance with COBS 11.2B.15R(1) ). [ Note: articles 2,1,0,0,3,COBS_0424
COBS 11.2.34,COBS 11.2B.15R,1,cheme (in accordance with COBS 11.2B.5R ); and (b) placing orders with other entities for execution (in accordance with COBS 11.2B.15R(1) ). [ Note: articles 25(3) first paragraph and 26(2) third sentence of the first paragraph of the UCITS implementing ,1,0,0,3,COBS_0424
COBS 11.2.34,COBS 11.2B.17R,1, possible result for the execution of scheme orders on a consistent basis. COBS 11.2B.19 03/01/2018 G The obligation in COBS 11.2B.17R does not require a management company to include all available execution venues in its execution policy. COBS 11.2B.20 ,1,1,0,4,COBS_0424
COBS 11.2.34,COBS 2.3.1R,1,"nformation available about the value of any monetary or non-monetary benefits received by the firm , in compliance with COBS 2.3.1R . (5) Where a unitholder makes a reasonable and proportionate request to a management company for information about its",1,0,0,2,COBS_0424
COBS 11.3.10A,COBS 11.3.7AR,1," allocate the transaction for own account proportionally, in accordance with its order allocation policy referred to in COBS 11.3.7AR(3) .",1,0,0,1,COBS_0437
COBS 11.4.3A,COBS 11.4.1R,1,traded on a trading venue which have not been immediately executed under prevailing market conditions as referred to in COBS 11.4.1R is considered available to the public when the investment firm has submitted the order for execution to a regulated mar,1,0,0,1,COBS_0445
COBS 11.4.5,COBS 11.5A.2R,1, to client orders and decisions to deal COBS 11.5A.4 23/10/2025 R The minimum details to be recorded in accordance with COBS 11.5A.2R are as follows: 1. Name and designation of the client 2. Name and designation of any relevant person acting on behalf o,1,0,0,2,COBS_0447
COBS 11.4.5,COBS 11.5A.3R,1,on to transactions and order processing COBS 11.5A.5 23/10/2025 R The minimum details to be recorded in accordance with COBS 11.5A.3R are as follows: 1. Name and designation of the client 2. Name and designation of any relevant person acting on behalf o,1,0,0,2,COBS_0447
COBS 12.2.21B,COBS 2.3A,1, providing investment research from any third party should only be acceptable when they are provided in accordance with COBS 2.3A .,1,0,0,2,COBS_0466
COBS 13.1.3,COBS 13.4.1AR,1,es document ; (i) the information from the key features illustration ; and (ii) the summary key information required by COBS 13.4.1AR ; or (d) [deleted] (e) for an interest in an investment trust savings scheme . (4) [deleted] COBS 13.2 Product informat,1,0,0,2,COBS_0480
COBS 14.1.1,COBS 14.2.1R,1,ective information ). (3) A firm that sells a life policy that is also a PRIIP must provide the information required by COBS 14.2.1R(2) . Some or all of this information may be included in a key information document if this is required to be provided b,1,0,0,1,COBS_0509
COBS 14.2.1,COBS 6.1ZA,1,kes a personal recommendation ; and (iv) irrespective of whether the policy is offered as part of a package pursuant to COBS 6.1ZA.16AR to COBS 6.1ZA.16ER ; (c) the information in (b) must be provided prior to the conclusion of the life policy and in,1,0,0,3,COBS_0510
COBS 14.2.1,COBS 7.4,1,"ZA.16ER ; (c) the information in (b) must be provided prior to the conclusion of the life policy and in accordance with COBS 7.4 , rather than in accordance with the other rules in this section; (3) the variation of a life policy or personal pensio",1,0,0,3,COBS_0510
COBS 14.2.1,COBS 13.3.1R,1," retail client : (a) a copy of the scheme s NURS-KII document and (unless already provided) the information required by COBS 13.3.1R (2) (General requirements); and (b) if that client is present in the United Kingdom , enough information for the client",1,0,0,1,COBS_0510
COBS 14.2.1,COBS 14.2.1R,1," ] COBS 14.2.1-A 01/02/2021 G If a retail client is invested in a pathway investment and makes a request falling within COBS 14.2.1R(3B) or (3E) , but which is clearly incompatible with the investment pathway option selected by the client under COBS 19",1,1,0,5,COBS_0510
COBS 14.3.7B,COBS 18.12,1, any other information that an operator of an electronic system in relation to lending must disclose in accordance with COBS 18.12 .,1,0,0,1,COBS_0541
COBS 16.6.7A,COBS 19.10.10R,1,"ed a personal recommendation in relation to how to invest the sums or assets in their drawdown fund, in accordance with COBS 19.10.10R (4) ; Income withdrawals - annual statements",1,0,0,1,COBS_0609
COBS 16.6.9,COBS 16.6.8AR,1," client to review the decision if it contains at least one of the following (in addition to the information required by COBS 16.6.8AR and COBS 16.6.10R , as relevant): (1) the information required by COBS 13 Annex 2 2.9R (Additional requirements: drawdo",1,0,0,3,COBS_0613
COBS 18.2.1,COBS 16.2.1,1, Life insurance contracts - communications to clients 16 Annex 1 R (1) 14 Information to be provided in accordance with COBS 16.2.1 R and 16.3,1,0,0,1,COBS_0632
COBS 18.3.1,COBS 16.2.1,1, Life insurance contracts - communications to clients 16 Annex 1 R (1) 14 Information to be provided in accordance with COBS 16.2.1 R and 16.3,1,0,0,2,COBS_0641
COBS 18.4.1,COBS 16.2.1,1, Life insurance contracts - communications to clients 16 Annex 1 R (1) 14 Information to be provided in accordance with COBS 16.2.1 R and 16.3,1,0,0,2,COBS_0646
COBS 18.5.2,COBS 18.5.3CR,1,uthorised UK AIFMs) Applies 18 Annex 1 (Research and inducements for collective portfolio managers) Applies (subject to COBS 18.5.3CR ) 18 Annex 2 (Record keeping: client orders and transactions) Applies COBS 18.5.2-B 03/01/2018 G (1) For activities whi,1,0,0,3,COBS_0650
COBS 18.5.18,COBS 18.5A.2R,1,"e fund . COBS 18.5A Full-scope UK AIFMs and incoming EEA AIFM branches Application COBS 18.5A.1 01/01/2021 R Subject to COBS 18.5A.2R , this section applies to a firm which is: (1) a full-scope UK AIFM of: (a) a UK AIF ; and (b) [deleted] (c) (c) a non-",1,1,0,5,COBS_0672
COBS 18.5.18,COBS 18.5A.7R,1,"s modified by COBS 18.5A.2R 18 Annex 1 (Research and inducements for collective portfolio managers) Applies (subject to COBS 18.5A.7R ) COBS 18.5A.4 03/01/2018 G (1) For activities that are not AIFM investment management functions , the COBS rules apply",1,1,1,4,COBS_0672
COBS 18.6.5,COBS 18.6A.3R,1,and activities directly arising from insurance risk transformation COBS 18.6A.2 13/12/2017 R COBS 3 applies (subject to COBS 18.6A.3R ) when a firm is carrying on insurance risk transformation and/or activities directly arising from insurance risk trans,1,1,0,4,COBS_0677
COBS 18.7.1,COBS 2.3B,1, does not fall within the scope of COBS 18.8A.5R . Inducements and research COBS 18.8A.9 02/04/2018 R The provisions in COBS 2.3B (Inducements and research) apply to an OPS firm with the following modifications: (1) COBS 2.3B.1R does not apply; (2) ,1,1,0,7,COBS_0678
COBS 18.7.1,COBS 18.8A.18R,1,"S 16.2.6R(1) only if it provides a periodic statement to the professional client containing the information required by COBS 18.8A.18R(3) . . (3) Where an OPS firm carries on OPS activity and is obliged to provide a periodic statement , the periodic stat",1,0,0,3,COBS_0678
COBS 18.12.10,COBS 18.12.5R,1," and procedures in (1); and (b) the firm s compliance with those policies and procedures and with its obligations under COBS 18.12.5R to 18.12.8R ; (4) following the review in (3), take appropriate measures to address any deficiencies in the policies an",1,0,0,1,COBS_0697
COBS 18.12.15,COBS 18.12.12R,1,"sses and the variability of losses through the cycle, and the price of such agreements as calculated in accordance with COBS 18.12.12R .",1,0,0,1,COBS_0702
COBS 18.12.29,COBS 18.12.24R,1,(1) The information to be provided in accordance with COBS 18.12.24R to 18.12.25R and 18.12.27R to 18.12.28R must be provided in good time before a firm carries on the relevant business fo,1,0,0,2,COBS_0716
COBS 18.12.29,COBS 18.12.26R,1,"time before a firm carries on the relevant business for a lender. (2) The information to be provided in accordance with COBS 18.12.26R must be provided each time before a firm facilitates a person becoming a lender under a P2P agreement , and in good tim",1,0,0,3,COBS_0716
COBS 18.12.40,COBS 18.5.2R,1,"lication 1.1 G This section applies to: (1) a small authorised UK AIFM and a residual CIS operator , in accordance with COBS 18.5.2R ; (2) a full-scope UK AIFM , in accordance with COBS 18.5A.3R ; (3) a UCITS management company , in accordance with COB",1,1,0,5,COBS_0727
